Title,Fuel,Km,Price(L)
1986  Maruti Suzuki 800 Std MPFi,Petrol,89000,1.5
1988  Hindustan Motors Ambassador Mark 4,Diesel,62000,2.6
1988  Mercedes-Benz E-Class 200 D,Diesel,100000,13.99
1988  Mercedes-Benz E-Class 200 D,Diesel,70000,4.4
1988  Nissan Jonga 4.0 Petrol,Petrol,50000,35
1990  Mahindra Jeep CJ 500 D,Diesel,3481,3.11
1991  Maruti Suzuki Gypsy King HT,Petrol,70000,2.6
1991  Maruti Suzuki Gypsy King HT,Petrol,70000,2.6
1991  Nissan Safari Granroad 4WD Diesel,Diesel,100000,22
1991  Nissan Safari Granroad 4WD Diesel,Diesel,100000,22
1994  Maruti Suzuki 800 Std,Petrol,98000,0.55
1995  BMW Z3 Roadster,Petrol,68000,15.5
1995  BMW Z3 Roadster,Petrol,68000,15.5
1995  BMW Z3 Roadster,Petrol,68000,15.5
1995  BMW Z3 Roadster,Petrol,68000,15.5
1995  BMW Z3 Roadster,Petrol,68000,15.5
1995  BMW Z3 Roadster,Petrol,68000,15.5
1996  Maruti Suzuki Gypsy MG410W ST,Petrol,90000,1.46
1996  Maruti Suzuki Gypsy MG410W ST,Petrol,90000,1.46
1998  Fiat 1100 Petrol,Petrol,73000,3.8
1998  Hindustan Motors Ambassador Classic Nova Diesel Deluxe,Diesel,70000,0.7
1998  Mahindra Armada AC,Diesel,100,3
1998  Mahindra Armada AC,Diesel,106,0.8
1998  Mahindra Armada AC,Diesel,100000,1
1998  Mahindra Armada AC,Diesel,300000,15
1998  Mahindra Armada AC,Diesel,250000,2.5
1998  Mahindra Armada AC,Diesel,100000,1
1998  Mahindra Armada AC,Diesel,999,20
1998  Mahindra Armada Grand 2WD,Diesel,70000,1.75
1998  Mahindra Armada Grand 2WD,Diesel,99999,1
1998  Mahindra Armada Grand 2WD,Diesel,300,5
1998  Mahindra Armada Grand 4WD,Diesel,84309,2
1998  Mahindra Armada Grand 4WD,Diesel,852000,6.06
1998  Mahindra Armada Grand 4WD,Diesel,105,1.4
1998  Mahindra Marshal DI,Diesel,50000,1.4
1998  Mahindra Marshal DI,Diesel,200000,2.2
1998  Mahindra Marshal DI,Diesel,100000,1.5
1998  Mahindra Marshal DI,Diesel,37000,4
1998  Mahindra Marshal DI DX,Diesel,20000,10
1998  Mahindra Marshal DI DX,Diesel,98000,5.8
1998  Mahindra Marshal DI DX,Diesel,10000,20
1998  Mahindra Marshal DI DX,Diesel,180000,3.2
1998  Mahindra Marshal DI DX,Diesel,100,8
1998  Mahindra Marshal DI DX,Diesel,100,8
1998  Mahindra Marshal DX Royale,Diesel,5000,11
1998  Mahindra Marshal DX Royale,Diesel,690000,6
1998  Mahindra Marshal DX Royale,Diesel,240,1
1998  Mahindra Marshal DX Royale,Diesel,1000,0.23
1998  Mahindra Marshal Std,Diesel,70000,7.5
1998  Mahindra Marshal Std,Diesel,8000,5
