year,company,model,fuel,km,price(L)
1986,Maruti Suzuki,800,Petrol,89000,1.5
1988,Hindustan Motors,Ambassador,Diesel,62000,2.6
1988,Mercedes-Benz,E-Class,Diesel,100000,13.99
1988,Mercedes-Benz,E-Class,Diesel,70000,4.4
1988,Nissan,Jonga,Petrol,50000,35
1990,Mahindra,Jeep,Diesel,3481,3.11
1991,Maruti Suzuki,Gypsy,Petrol,70000,2.6
1991,Nissan,Safari,Diesel,100000,22
1994,Maruti Suzuki,800,Petrol,98000,0.55
1995,BMW,Z3,Petrol,68000,15.5
1996,Maruti Suzuki,Gypsy,Petrol,90000,1.46
1998,Fiat,1100,Petrol,73000,3.8
1998,Hindustan Motors,Ambassador,Diesel,70000,0.7
1998,Mahindra,Armada,Diesel,100,3
1998,Mahindra,Armada,Diesel,106,0.8
1998,Mahindra,Armada,Diesel,100000,1
1998,Mahindra,Armada,Diesel,300000,15
1998,Mahindra,Armada,Diesel,250000,2.5
1998,Mahindra,Armada,Diesel,999,20
1998,Mahindra,Armada,Diesel,70000,1.75
1998,Mahindra,Armada,Diesel,99999,1
1998,Mahindra,Armada,Diesel,300,5
1998,Mahindra,Armada,Diesel,84309,2
1998,Mahindra,Armada,Diesel,852000,6.06
1998,Mahindra,Armada,Diesel,105,1.4
1998,Mahindra,Marshal,Diesel,50000,1.4
1998,Mahindra,Marshal,Diesel,200000,2.2
1998,Mahindra,Marshal,Diesel,100000,1.5
1998,Mahindra,Marshal,Diesel,37000,4
1998,Mahindra,Marshal,Diesel,20000,10
1998,Mahindra,Marshal,Diesel,98000,5.8
1998,Mahindra,Marshal,Diesel,10000,20
1998,Mahindra,Marshal,Diesel,180000,3.2
1998,Mahindra,Marshal,Diesel,100,8
1998,Mahindra,Marshal,Diesel,5000,11
1998,Mahindra,Marshal,Diesel,690000,6
1998,Mahindra,Marshal,Diesel,240,1
1998,Mahindra,Marshal,Diesel,1000,0.23
1998,Mahindra,Marshal,Diesel,70000,7.5
1998,Mahindra,Marshal,Diesel,8000,5
1998,Maruti Suzuki,1000,Petrol,845105,0.5
1998,Maruti Suzuki,1000,Petrol,100,0.35
1998,Maruti Suzuki,1000,Petrol,100000,0.5
1998,Maruti Suzuki,1000,Petrol,9999,0.5
1998,Maruti Suzuki,1000,Petrol,50000,1.65
1998,Maruti Suzuki,1000,Petrol,100,1
1998,Maruti Suzuki,1000,Petrol,9000,5
1998,Maruti Suzuki,1000,Petrol,2021,7.99
1998,Maruti Suzuki,1000,Petrol,40000,2.5
1998,Maruti Suzuki,1000,Petrol,3000,1.5
1998,Maruti Suzuki,1000,Petrol,100,0.5
1998,Maruti Suzuki,800,Petrol,100000,0.36
1998,Maruti Suzuki,800,Petrol,100,0.7
1998,Maruti Suzuki,800,Petrol,100,5.34
1998,Maruti Suzuki,800,Petrol,80000,1.5
1998,Maruti Suzuki,800,Petrol,100000,0.85
1998,Maruti Suzuki,800,Petrol,130000,1
1998,Maruti Suzuki,800,Petrol,57921,0.45
1998,Maruti Suzuki,800,Petrol,55000,0.27
1998,Maruti Suzuki,800,Petrol,45823,0.5
1998,Maruti Suzuki,800,Petrol,40000,0.4
1998,Maruti Suzuki,800,Petrol,89000,0.35
1998,Maruti Suzuki,800,Petrol,100,3.39
1998,Maruti Suzuki,800,Petrol,60000,0.4
1998,Maruti Suzuki,Esteem,Petrol,855,10
1998,Maruti Suzuki,Esteem,Petrol,50000,2.5
1998,Maruti Suzuki,Esteem,Petrol,240,8
1998,Maruti Suzuki,Esteem,Petrol,500000,5
1998,Maruti Suzuki,Esteem,Petrol,90000,0.8
1998,Maruti Suzuki,Esteem,Petrol,93000,2.7
1998,Maruti Suzuki,Gypsy,Petrol,100,1.5
1998,Maruti Suzuki,Gypsy,Petrol,20000,5
1998,Maruti Suzuki,Gypsy,Petrol,60000,1.5
1998,Maruti Suzuki,Versa,Petrol,98000,0.8
1998,Maruti Suzuki,Zen,Petrol,75000,0.9
1998,Maruti Suzuki,Zen,Petrol,82500,0.5
1998,Maruti Suzuki,Zen,Petrol,10000,3
1998,Maruti Suzuki,Zen,Petrol,75000,0.45
1998,Maruti Suzuki,Zen,Petrol,69000,0.85
